country,region,population,area,pop_density,coastline,net_migraton,infant_mortality,gdp,literacy,phone_per_thousand,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,480,0,2306,16307,700,360,32,1213,22,8765,1,466,2034,38,24,38
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,10234,40,-71,626,1900,431,73,6211,307,3482,2,298,827,199,198,603
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,485,0,0,10044,1300,422,143,309,43,9648,2,3365,127,258,379,363
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,658,279,359,1261,18600,939,2372,57,76,9867,2,1879,345,36,561,403
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,698,28,-18,6724,1800,853,101,1519,97,8384,2,1791,983,564,82,353
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,767,24,0,7148,1900,694,26,2096,61,7843,2,269,906,35,3,35
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,1369,15,-4,2418,5000,909,2667,154,125,8335,15,1325,697,125,473,403
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,708,470,0,4741,500,586,,471,67,9462,2,2699,624,85,231,684
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,63557,6712,524,297,28800,935,5467,505,101,9394,2,729,629,1,92,906
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,3332,21,-7,5629,2900,595,454,544,274,4286,25,2201,818,186,276,538
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,1279,285,0,356,3200,879,520,1132,723,8145,2,2034,625,134,458,408
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,417,15,-84,4158,7000,794,2764,872,139,8989,1,17,555,116,424,46
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,3374,787,0,326,28200,990,4612,1219,96,8685,3,937,916,17,258,725
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,1918,207,0,2404,1300,990,424,2076,249,7675,3,1554,713,3,34,36
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,4960,245,0,705,17800,979,4861,1718,195,8087,3,10,585,33,403,563
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,269,0,0,8522,1700,664,141,38,35,9585,2,3549,1155,455,287,258
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,161830,14643,486,439,19400,945,3849,0,0,100,2,848,447,1,72,927
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,740,142,0,177,9000,887,1790,548,1761,7691,2,2286,505,84,48,436
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,11967,21467,0,5652,3900,972,900,1333,1667,70,2,3481,706,2,18,62
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,18,0,0,5379,1800,978,551,77,0,9923,1,2159,695,206,214,58
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,1922,0,0,6698,1400,452,159,2168,64,7768,0,3098,931,38,21,41
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,2062,13,-277,7244,2100,457,318,2787,87,7126,1,2974,823,216,251,533
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,2982,1210,-15,2351,4600,926,384,1895,1677,6428,2,2489,541,144,326,53
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,64822,2785,1153,229,23700,925,4114,164,0,9836,2,934,428,0,339,661
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,3082,204,-131,1435,3700,923,615,1386,157,7044,2,1551,652,178,276,545
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,6403,435,0,64,23400,961,5910,24,1,75,2,1256,648,18,259,723
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,1257,63,0,2048,7400,926,1089,2936,646,6418,2,1387,704,99,441,46
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,2561,105,-45,2595,2500,903,1877,1997,595,7408,2,1686,622,209,41,381
