country,region,population,area,pop_density,coastline,net_migraton,infant_mortality,gdp,literacy,phone_per_thousand,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,97,13,0,19119,1900,420,78,241,24,9735,0,4511,242,96,658,246
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,698,11,0,85,1100,409,97,1808,24,7952,2,3885,1222,316,138,546
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,27,0,0,5458,9000,798,805,65,1,9934,1,2308,295,24,469,507
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,507,0,0,9757,1100,266,70,1443,19,8538,2,4562,156,322,196,482
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,2907,0,-6,6929,600,516,34,3505,1402,5093,2,4222,1346,463,203,334
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,365,8,0,6826,1800,790,57,1281,258,8461,15,3389,1347,448,17,382
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,1044,2393,-1207,4777,1400,766,1696,968,5,8982,3,2487,655,121,219,66
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,69,0,0,91,1100,510,23,31,14,9676,2,3391,1865,55,2,25
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,77,0,-11,9382,1200,475,13,286,2,9712,2,4573,1638,335,259,406
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,3184,1567,0,7493,700,565,245,3587,2332,4081,2,3693,82,4,4,56
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,267,0,0,9469,700,655,2,296,52,9652,2,4369,1327,55,11,34
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,108,5,-17,9386,700,838,37,51,13,9936,2,4257,1293,62,57,369
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,548,16,-7,9083,1400,509,146,975,1384,7641,2,3511,1484,279,171,55
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,212,137,0,10413,1300,679,228,4,0,9996,1,3953,1931,179,225,596
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,193,106,0,8513,2700,857,185,463,357,918,2,3559,1506,3,906,62
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,395,184,0,7487,700,586,79,495,3,9502,15,3433,96,102,254,643
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,663,0,0,9532,700,427,82,1071,75,8854,2,3798,1486,475,99,426
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,53,33,0,5364,5500,632,274,126,66,9808,2,3616,1225,61,592,348
