country,region,population,area,pop_density,coastline,net_migraton,infant_mortality,gdp,literacy,phone_per_thousand,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service
Armenia ,C.W. OF IND. STATES ,2976372,29800,999,0,-647,2328,3500,986,1957,1755,23,8015,4,1207,823,239,343,418
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,919,0,-49,8174,3400,970,1371,1963,271,7766,1,2074,975,141,457,402
Belarus ,C.W. OF IND. STATES ,10293011,207600,496,0,254,1337,6100,996,3191,2955,6,6985,4,1116,1402,93,316,591
Georgia ,C.W. OF IND. STATES ,4661473,69700,669,44,-47,1859,2500,990,1466,1144,386,847,3,1041,923,172,275,553
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,56,0,-335,2921,6300,984,1641,798,5,9197,4,16,942,67,386,547
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,263,0,-245,3564,1600,970,840,73,35,9235,25,228,708,353,208,439
Moldova ,C.W. OF IND. STATES ,4466706,33843,1320,0,-26,4042,1800,991,2081,553,1079,3391,0,157,1264,213,233,555
Russia ,C.W. OF IND. STATES ,142893540,17075200,84,22,102,1539,8900,996,2806,733,11,9256,0,995,1465,54,371,575
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,512,0,-286,11076,1000,994,335,661,92,9247,2,3265,825,234,286,48
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,103,0,-86,7308,5800,980,746,372,14,9614,1,2761,86,209,38,411
Ukraine ,C.W. OF IND. STATES ,46710816,603700,774,46,-39,2034,5400,997,2599,5621,161,4218,3,882,1439,187,452,361
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,610,0,-172,711,1700,993,629,1083,83,8834,1,2636,784,342,229,43
