country,region,population,area,pop_density,coastline,net_migraton,infant_mortality,gdp,literacy,phone_per_thousand,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service
Bahrain ,NEAR EAST                          ,698585,665,10505,2421,105,1727,16900,891,2813,282,563,9155,1,178,414,5,387,608
Cyprus ,NEAR EAST                          ,784301,9250,848,701,43,718,19200,976,,779,444,8777,3,1256,768,37,198,765
Gaza Strip ,NEAR EAST                          ,1428757,360,39688,1111,16,2293,600,0,2443,2895,2105,50,3,3945,38,3,283,687
Iraq ,NEAR EAST                          ,26783383,437072,613,1,0,5025,1500,404,386,1315,78,8607,1,3198,537,73,666,261
Israel ,NEAR EAST                          ,6352117,20770,3058,131,68,703,19800,954,4623,1639,417,7944,3,1797,618,26,317,657
Jordan ,NEAR EAST                          ,5906760,92300,640,3,659,1735,4300,913,1045,267,183,955,1,2125,265,33,287,68
Kuwait ,NEAR EAST                          ,2418393,17820,1357,280,1418,995,19000,835,2110,73,11,9916,1,2194,241,4,479,516
Lebanon ,NEAR EAST                          ,3874050,10400,3725,216,0,2452,4800,874,2556,1662,1398,694,0,1852,621,12,21,67
Oman ,NEAR EAST                          ,3102229,212460,146,98,28,1951,13100,758,855,0,14,9974,1,3624,381,27,39,583
Qatar ,NEAR EAST                          ,885359,11437,774,492,1629,1861,21500,825,2320,164,27,9809,1,1556,472,2,801,197
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,138,13,-271,1324,11800,788,1406,167,9,9824,1,2934,258,33,613,354
Syria ,NEAR EAST                          ,18881361,185180,1020,10,0,2953,3300,769,1538,2522,443,7035,1,2776,481,249,23,519
Turkey ,NEAR EAST                          ,70413958,780580,902,92,0,4104,6700,865,2695,3093,331,6576,3,1662,597,117,298,585
United Arab Emirates ,NEAR EAST                          ,2602713,82880,314,159,103,1451,23200,779,4753,6,225,9715,1,1896,44,4,585,375
West Bank ,NEAR EAST                          ,2460492,5860,4199,0,298,1962,800,0,1452,169,1897,6413,3,3167,392,9,28,63
Yemen ,NEAR EAST                          ,21456188,527970,406,36,0,615,800,502,372,278,24,9698,1,4289,83,135,472,393
