country,region,population,area,pop_density,coastline,net_migraton,infant_mortality,gdp,literacy,phone_per_thousand,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service
American Samoa ,OCEANIA                            ,57794,199,2904,5829,-2071,927,8000,970,2595,10,15,75,2,2246,327,0,0,0
Australia ,OCEANIA                            ,20264082,7686850,26,34,398,469,29000,1000,5655,655,4,9341,1,1214,751,38,262,7
Cook Islands ,OCEANIA                            ,21388,240,891,5000,,,5000,950,2899,1739,1304,6957,2,21,0,151,96,753
Fiji ,OCEANIA                            ,905949,18270,496,618,-314,1262,5800,937,1126,1095,465,844,2,2255,565,89,135,776
French Polynesia ,OCEANIA                            ,274578,4167,659,6060,294,844,17500,980,1945,82,546,9372,2,1668,469,31,19,769
Guam ,OCEANIA                            ,171019,541,3161,2320,0,694,21000,990,4920,909,1636,7455,2,1879,448,,,
Kiribati ,OCEANIA                            ,105432,811,1300,14094,0,4852,800,0,427,274,5068,4658,2,3065,826,89,242,668
Marshall Islands ,OCEANIA                            ,60422,11854,51,312,-604,2945,1600,937,912,1667,3889,4444,2,3305,478,317,149,534
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,1539,87066,-2099,3021,2000,890,1148,571,4571,4858,2,2468,475,289,152,559
Nauru ,OCEANIA                            ,13287,21,6327,14286,0,995,5000,0,1430,0,0,100,2,2476,67,0,0,
New Caledonia ,OCEANIA                            ,219246,19060,115,1183,0,772,15000,910,2522,38,33,9929,2,1811,569,15,88,0
New Zealand ,OCEANIA                            ,4076140,268680,152,563,405,585,21600,990,4417,56,699,8741,3,1376,753,43,273,684
N. Mariana Islands ,OCEANIA                            ,82459,477,1729,31069,961,711,12500,970,2547,1304,435,8261,2,1943,229,,,
Palau ,OCEANIA                            ,20579,458,449,33166,285,1484,9000,920,3256,87,435,8695,2,1803,68,62,12,818
Papua New Guinea ,OCEANIA                            ,5670544,462840,123,111,0,5145,2200,646,109,46,144,981,2,2936,725,353,381,266
Samoa ,OCEANIA                            ,176908,2944,601,1369,-117,2771,5600,997,752,212,2438,5442,2,1643,662,114,584,302
Solomon Islands ,OCEANIA                            ,552438,28450,194,1867,0,2129,1700,0,134,64,2,9736,2,3001,392,42,11,47
Tonga ,OCEANIA                            ,114689,748,1533,5602,0,1262,2200,985,977,2361,4306,3333,2,2537,528,23,27,5
Tuvalu ,OCEANIA                            ,11810,26,4542,9231,0,2003,1100,0,593,0,0,100,2,2218,711,166,272,562
Vanuatu ,OCEANIA                            ,208869,12200,171,2072,0,5516,2900,530,326,246,738,9016,2,2272,782,26,12,62
Wallis and Futuna ,OCEANIA                            ,16025,274,585,4708,0,0,3700,500,1186,5,25,70,2,0,0,0,0,0
